Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
25-09-2023,25.2,35.6,29.4,70,0,8.7,8,10,3,N 
26-09-2023,23.8,36.6,28.6,70,0,9.2,7,350,2,N 
27-09-2023,23.6,35.6,28.8,68,0,9.5,8,10,2,N 
28-09-2023,24.2,36,29.4,69,0,6.2,9,330,2,C 
29-09-2023,24.4,35.6,29,73,0,7.4,8,10,2,N 
30-09-2023,24.8,35.6,29.2,74,0,8,9,20,3,N 
01-10-2023,25,35.6,29.5,72,0,9.7,8,10,3,N 
01-10-2023,25,35.6,29.5,72,0,9.7,8,10,3,N 
02-10-2023,25.2,,29.6,68,,10.3,7,360,3,N 
03-10-2023,25.2,35.6,28.9,74,0,8.8,6,340,2,S 
04-10-2023,23.4,36,28.8,73,0.1,6.8,8,20,3,S 
05-10-2023,23.4,36.6,28.9,74,0,8.1,6,360,2,N 
06-10-2023,24,37,29.2,71,0.2,5.4,7,350,2,N 
07-10-2023,24.2,36.2,30.1,72,0,9.7,6,360,3,N 
08-10-2023,24.2,36.2,29.3,72,0,9,7,10,2,N 
09-10-2023,24.4,36.2,29.4,71,0,8.7,7,350,2,C 
10-10-2023,24.6,35.6,29.4,70,0,9.3,7,350,2,N 
11-10-2023,24.6,37,29.4,72,0,6.5,8,360,3,N 
12-10-2023,25,36.2,,,0,7.5,6,360,2,C 
13-10-2023,24.6,36.2,29.6,70,0,8,7,360,2,N 
14-10-2023,25.2,36.2,29.3,73,0,8.8,7,360,2,S 
15-10-2023,23.6,37.4,29.6,69,8888,7.2,8,360,2,S 
16-10-2023,23.8,38,30.2,67,8,9.2,7,350,2,N 
17-10-2023,24.6,35.8,29,73,0,10,6,360,2,C 
18-10-2023,25,34.8,29.4,72,0,6,5,360,2,C 
19-10-2023,24,36,28.3,78,0.7,3.9,6,350,2,C 
20-10-2023,24,35.4,29,75,8888,7.9,7,360,2,N 
21-10-2023,24.2,36.4,29.8,70,0,10,7,360,3,C 
22-10-2023,24,36.6,29.6,66,0,9.4,7,20,2,C 
23-10-2023,,,,,,,,,,
24-10-2023,24.2,34.4,28.9,71,0,9.8,6,40,2,C 
25-10-2023,24,36,28.8,72,8888,5.1,6,40,2,N 
26-10-2023,24.2,36.6,29.3,76,0.8,6,7,360,3,N 
27-10-2023,23.4,36.4,29,68,0,7.3,7,350,3,N 
28-10-2023,22.4,37.2,28.7,65,0,10,6,340,2,C 
29-10-2023,23,36.4,29.1,67,0,9,8,10,2,N 
30-10-2023,23.8,36.4,30.3,68,0,10.1,8,10,3,N 
31-10-2023,25.2,36.6,30.4,68,,9.3,7,360,3,N 
01-11-2023,25,36,30.4,68,0,8.5,7,340,3,N 
01-11-2023,25,36,30.4,68,0,8.5,7,340,3,N 
02-11-2023,25.4,35,29.5,72,1,8.5,6,10,2,C 
03-11-2023,25,35.4,28.6,76,1.1,4.4,7,30,2,N 
04-11-2023,24.6,34.2,28.1,77,7.8,5.3,6,360,2,N 
05-11-2023,23.4,36,29.5,71,8888,5,7,360,2,N 
06-11-2023,23.6,35.2,29.3,71,0,9.9,6,10,2,N 
07-11-2023,24.2,36,29.1,73,0,5.6,8,10,3,N 
08-11-2023,23.6,35.8,30.1,69,0,6.5,9,10,3,N 
09-11-2023,25,35.4,28.4,74,0,7.2,8,360,2,C 
10-11-2023,22.6,35.6,29.3,70,0,4.4,8,10,3,N 
11-11-2023,23.4,36.8,30,67,0,9.4,7,350,2,C 
12-11-2023,24.4,35.8,29.5,74,0,8.5,7,360,3,N 
13-11-2023,24.2,34.4,29.2,77,7.5,7.7,10,350,3,N 
14-11-2023,25.2,35.6,29.2,72,0.3,5.7,7,360,2,N 
15-11-2023,24,35.6,29.9,70,0,7.8,7,350,3,N 
16-11-2023,24,35.2,30.2,68,0,9.2,7,10,2,N 
17-11-2023,25.2,34.8,29.4,73,0,6.6,7,10,2,N 
18-11-2023,24.8,34.8,29.2,75,0.9,7.2,8,10,2,N 
19-11-2023,24.8,35,30,73,0,6.7,9,350,3,N 
